id,title,url,date,body_text,image_captions,video_captions,text
0,A summary of what's been happening.,https://www.bbc.com/news/live//world-middle-east-67653615/page/1,2023-12-09,"[""We're pausing our live coverage of developments in the Middle East now. But before we do, here are some of the main updates from today:"", 'The UN has warned that half of the population in the Gaza Strip is starving. A World Food Programme official also said nine out of 10 people in the Palestinian territory could not eat every day, as a result of the Israeli siege. Israel said it was doing everything it could to get more aid in.', ""The director of Nasser Hospital in Khan Younis told the BBC that his team had “lost control” in the face of a high numbers of dead and injured arriving . Khan Younis - the largest city in southern Gaza - is surrounded on two fronts by Israeli tanks, which have been moving towards one of its main streets. Israel says it's fighting house to house in the city."", ""Israel accused Hamas of using a UN-run school and a mosque in Beit Hanoun in northern Gaza to fire at its forces; a claim that the UN said it couldn't verify due to constant bombing in the area."", 'The death of another Israeli hostage – Sahar Baruch, 25 – has been confirmed by his kibbutz and a hostages’ group. It comes a day after Hamas released a video claiming to show the aftermath of a failed Israeli rescue operation in Gaza.', 'Hamas attacked Israel nine weeks ago to the day - killing 1,200 people and taking 240 hostages, some of whom were released during a short-lived truce.', 'The Hamas-run health ministry in Gaza today gave an update to its own toll - saying Israel had killed more than 17,700 people in its retaliatory campaign, including more than 7,000 children.', 'Head here for our new report detailing more of Saturday\'s headlines. And for analysis by our international editor Jeremy Bowen on a ""messy and dangerous"" future for Gaza - here\'s where to go next.']","['Displaced Palestinians are served food in the city of Deir al-Balah.', 'The death in Gaza of Israeli hostage Sahar Baruch, 25, was confirmed today.']",[],"[""We're pausing our live coverage of developments in the Middle East now. But before we do, here are some of the main updates from today:"", 'The UN has warned that half of the population in the Gaza Strip is starving. A World Food Programme official also said nine out of 10 people in the Palestinian territory could not eat every day, as a result of the Israeli siege. Israel said it was doing everything it could to get more aid in.', ""The director of Nasser Hospital in Khan Younis told the BBC that his team had “lost control” in the face of a high numbers of dead and injured arriving . Khan Younis - the largest city in southern Gaza - is surrounded on two fronts by Israeli tanks, which have been moving towards one of its main streets. Israel says it's fighting house to house in the city."", ""Israel accused Hamas of using a UN-run school and a mosque in Beit Hanoun in northern Gaza to fire at its forces; a claim that the UN said it couldn't verify due to constant bombing in the area."", 'The death of another Israeli hostage – Sahar Baruch, 25 – has been confirmed by his kibbutz and a hostages’ group. It comes a day after Hamas released a video claiming to show the aftermath of a failed Israeli rescue operation in Gaza.', 'Hamas attacked Israel nine weeks ago to the day - killing 1,200 people and taking 240 hostages, some of whom were released during a short-lived truce.', 'The Hamas-run health ministry in Gaza today gave an update to its own toll - saying Israel had killed more than 17,700 people in its retaliatory campaign, including more than 7,000 children.', 'Head here for our new report detailing more of Saturday\'s headlines. And for analysis by our international editor Jeremy Bowen on a ""messy and dangerous"" future for Gaza - here\'s where to go next.', 'Displaced Palestinians are served food in the city of Deir al-Balah.', 'The death in Gaza of Israeli hostage Sahar Baruch, 25, was confirmed today.']"
1,UN insists 'scrutiny and screening' in place for Gaza staff.,https://www.bbc.com/news/live//world-middle-east-67653615/page/1,2023-12-09,"['The UN agency which supports Palestinian refugees has insisted it has a ""scrutiny and screening process for all its staff"" and that it shares employee lists with the host governments of the countries it works in.', ""Juliette Touma, UNRWA's director of communications, gave a statement to the BBC in response to claims made by Mark Regev, a senior adviser to Israeli Prime Minister Benjamin Netanyahu."", 'Regev was discussing footage - verified by the BBC - which showed a group of men in Gaza stripped to their underwear , kneeling on the ground and being guarded by Israeli soldiers.', 'He said it was possible that some of the men shown were UN workers - but that did not ""automatically"" mean they were not also Hamas members.', 'Touma also said UNRWA shared with Israel its staff lists for Gaza and the occupied West Bank - adding that even though the lists were sent once a year, the agency has never received a response.']",[],['Gaza: Video appears to show Palestinian men stripped and detained by IDF.'],"['The UN agency which supports Palestinian refugees has insisted it has a ""scrutiny and screening process for all its staff"" and that it shares employee lists with the host governments of the countries it works in.', ""Juliette Touma, UNRWA's director of communications, gave a statement to the BBC in response to claims made by Mark Regev, a senior adviser to Israeli Prime Minister Benjamin Netanyahu."", 'Regev was discussing footage - verified by the BBC - which showed a group of men in Gaza stripped to their underwear , kneeling on the ground and being guarded by Israeli soldiers.', 'He said it was possible that some of the men shown were UN workers - but that did not ""automatically"" mean they were not also Hamas members.', 'Touma also said UNRWA shared with Israel its staff lists for Gaza and the occupied West Bank - adding that even though the lists were sent once a year, the agency has never received a response.', 'Gaza: Video appears to show Palestinian men stripped and detained by IDF.']"
2,US faces further criticism over ceasefire resolution veto.,https://www.bbc.com/news/live//world-middle-east-67653615/page/1,2023-12-09,"[""In the last few hours, there's been more reaction to a move on Friday by the US to veto a resolution at the UN Security Council, which called for an immediate humanitarian ceasefire."", 'The      leader of the Palestinian Authority (PA) Mahmoud Abbas      alleged that the move made the US complicit in what he called war crimes.      (The PA governs areas of the West Bank not under Israeli control, and is      separate to the Hamas government which operates in Gaza)', 'Iran condemned the US for its support of Israel, and warned of an ""uncontrollable explosion"" of the situation in the Middle East.', 'A group of Arab nations who earlier met America’s top diplomat      called on the US to pressurise Israel into a ceasefire, stressing the      importance of international humanitarian law.', 'But Israel has      praised the US; an earlier statement from the foreign minister echoed the      American view that the ceasefire would have helped Hamas stay in power in      Gaza.', 'The UK also echoed the US on Friday - saying it could not vote in favour of a resolution that does not condemn ""the atrocities Hamas committed""']",[],[],"[""In the last few hours, there's been more reaction to a move on Friday by the US to veto a resolution at the UN Security Council, which called for an immediate humanitarian ceasefire."", 'The      leader of the Palestinian Authority (PA) Mahmoud Abbas      alleged that the move made the US complicit in what he called war crimes.      (The PA governs areas of the West Bank not under Israeli control, and is      separate to the Hamas government which operates in Gaza)', 'Iran condemned the US for its support of Israel, and warned of an ""uncontrollable explosion"" of the situation in the Middle East.', 'A group of Arab nations who earlier met America’s top diplomat      called on the US to pressurise Israel into a ceasefire, stressing the      importance of international humanitarian law.', 'But Israel has      praised the US; an earlier statement from the foreign minister echoed the      American view that the ceasefire would have helped Hamas stay in power in      Gaza.', 'The UK also echoed the US on Friday - saying it could not vote in favour of a resolution that does not condemn ""the atrocities Hamas committed""']"
3,"Hamas-run health ministry: 17,700 Palestinians killed since 7 October.",https://www.bbc.com/news/live//world-middle-east-67653615/page/1,2023-12-09,"['Some new figures to bring you, which have just been released by the Hamas-run health ministry.', 'Officials there say the Gaza death toll has risen to 17,700 since 7 October.']",[],[],"['Some new figures to bring you, which have just been released by the Hamas-run health ministry.', 'Officials there say the Gaza death toll has risen to 17,700 since 7 October.']"
4,Man displaced six times says money now worthless in Gaza.,https://www.bbc.com/news/live//world-middle-east-67653615/page/1,2023-12-09,"['BBC Arabic has been speaking with people in Gaza who have been displaced by the fighting.', 'They include Khaled, who says he has been forced to move at least six times since the war began. “There is not a single place that is safe,” he explains, adding that there is no water or food available, or gas for cooking.', 'Even those with money cannot use it, he says, because of the lack of availability of every day items.', '“Those who don’t die from the war are doomed to die from the inexistence of life’s essentials. The situation is catastrophic,” he says.', 'Another man says he has been displaced four times, and was among those forced to leave northern Gaza near the start of the war.', 'He is now staying at the European Hospital in Khan Younis, where he says people are suffering from starvation.', '“The prices here are very high and the people don’t even have the money to buy anything,” he says.']",['A burnt Israeli banknote retrieved from the wreckage of a building in Gaza last month.'],[],"['BBC Arabic has been speaking with people in Gaza who have been displaced by the fighting.', 'They include Khaled, who says he has been forced to move at least six times since the war began. “There is not a single place that is safe,” he explains, adding that there is no water or food available, or gas for cooking.', 'Even those with money cannot use it, he says, because of the lack of availability of every day items.', '“Those who don’t die from the war are doomed to die from the inexistence of life’s essentials. The situation is catastrophic,” he says.', 'Another man says he has been displaced four times, and was among those forced to leave northern Gaza near the start of the war.', 'He is now staying at the European Hospital in Khan Younis, where he says people are suffering from starvation.', '“The prices here are very high and the people don’t even have the money to buy anything,” he says.', 'A burnt Israeli banknote retrieved from the wreckage of a building in Gaza last month.']"
5,Israel says it's trying to get more aid into Gaza.,https://www.bbc.com/news/live//world-middle-east-67653615/page/1,2023-12-09,"['The Israel Defense Forces (IDF) is doing “everything we can” to get aid into the Gaza Strip, a spokesperson says, while defending the actions of troops in the territory.', '“We’re opening up more crossings, [letting in] more trucks, to move them into the Gaza Strip,” IDF spokesman Lt Col Richard Hecht earlier told the BBC.', 'He explained that all trucks entering the enclave needed to be checked for security purposes.', 'Humanitarian assistance is desperately needed in Gaza, aid agencies warn, after Israel shut its border crossings after 7 October, preventing the usual supplies of food, water, fuel and medicine from entering.', 'Some aid has entered through the Rafah crossing on the Egyptian border, but this has not been enough. Israel has agreed to open the Kerem Shalom border crossing between Israel and Gaza in the coming days.', 'Asked about the IDF’s actions in Gaza - where officials from the Hamas-run health ministry say more than 17,400 people have been killed - Lt Col Hecht said the IDF was ""doing everything we can to get civilians out of harm\'s way"".']",[],[],"['The Israel Defense Forces (IDF) is doing “everything we can” to get aid into the Gaza Strip, a spokesperson says, while defending the actions of troops in the territory.', '“We’re opening up more crossings, [letting in] more trucks, to move them into the Gaza Strip,” IDF spokesman Lt Col Richard Hecht earlier told the BBC.', 'He explained that all trucks entering the enclave needed to be checked for security purposes.', 'Humanitarian assistance is desperately needed in Gaza, aid agencies warn, after Israel shut its border crossings after 7 October, preventing the usual supplies of food, water, fuel and medicine from entering.', 'Some aid has entered through the Rafah crossing on the Egyptian border, but this has not been enough. Israel has agreed to open the Kerem Shalom border crossing between Israel and Gaza in the coming days.', 'Asked about the IDF’s actions in Gaza - where officials from the Hamas-run health ministry say more than 17,400 people have been killed - Lt Col Hecht said the IDF was ""doing everything we can to get civilians out of harm\'s way"".']"
6,UN official warns half of Gazans are starving.,https://www.bbc.com/news/live//world-middle-east-67653615/page/1,2023-12-09,"['A senior UN aid official has given an updated indication as to how bad the food and aid issues are in Gaza.', 'Deputy director of the UN World Food Programme (WFP) Carl Skau warns that nine out of 10 people in the Palestinian territory can’t eat every day - and that half the population is starving.', 'In an interview with Reuters, he says nothing had prepared him for the fear, chaos and despair he encountered on visiting Gaza.', 'As intense fighting continues across the territory, Skau insists only a fraction of the food supplies needed are coming in.', 'He adds that conditions on the ground are making deliveries almost impossible.']",[],[],"['A senior UN aid official has given an updated indication as to how bad the food and aid issues are in Gaza.', 'Deputy director of the UN World Food Programme (WFP) Carl Skau warns that nine out of 10 people in the Palestinian territory can’t eat every day - and that half the population is starving.', 'In an interview with Reuters, he says nothing had prepared him for the fear, chaos and despair he encountered on visiting Gaza.', 'As intense fighting continues across the territory, Skau insists only a fraction of the food supplies needed are coming in.', 'He adds that conditions on the ground are making deliveries almost impossible.']"
7,Stories of the people taken from Israel.,https://www.bbc.com/news/live//world-middle-east-67653615/page/1,2023-12-09,"[""We've now updated this list article to reflect today's confirmation that Israeli hostage Sahar Baruch, 25, has been killed in Gaza - as stated by his kibbutz and a hostages' group."", ""Baruch is the latest confirmed Israeli death after the Hamas attacks nine weeks ago to the day, which also killed Sahar's brother Idan. Earlier this week, Israel calculated that 130 people were still missing.""]","['Amiram Cooper, Guy Gilboa-Dalal and Tsachi Idan are among those still being held in Gaza.']",[],"[""We've now updated this list article to reflect today's confirmation that Israeli hostage Sahar Baruch, 25, has been killed in Gaza - as stated by his kibbutz and a hostages' group."", ""Baruch is the latest confirmed Israeli death after the Hamas attacks nine weeks ago to the day, which also killed Sahar's brother Idan. Earlier this week, Israel calculated that 130 people were still missing."", 'Amiram Cooper, Guy Gilboa-Dalal and Tsachi Idan are among those still being held in Gaza.']"
8,Two arrests at London protest over offensive placards.,https://www.bbc.com/news/live//world-middle-east-67653615/page/1,2023-12-09,"['Here in the UK, thousands of pro-Palestinian protests calling for a ceasefire in the Israel-Hamas war have marched through the streets of central London.', 'Police said as the march formed up, officers identified a man with a placard making comparisons between Israel and Nazi Germany.', '""He has been arrested on suspicion of a racially aggravated public order offence,"" officers said in a social media post.', 'A second arrest was made for an offensive placard as the as the march reached Parliament Square.', 'Among other places, rallies have also been held at the COP28 climate change summit in Dubai:']",[],[],"['Here in the UK, thousands of pro-Palestinian protests calling for a ceasefire in the Israel-Hamas war have marched through the streets of central London.', 'Police said as the march formed up, officers identified a man with a placard making comparisons between Israel and Nazi Germany.', '""He has been arrested on suspicion of a racially aggravated public order offence,"" officers said in a social media post.', 'A second arrest was made for an offensive placard as the as the march reached Parliament Square.', 'Among other places, rallies have also been held at the COP28 climate change summit in Dubai:']"
9,Gaza resident: 'This war won't stop until the US says so',https://www.bbc.com/news/live//world-middle-east-67653615/page/1,2023-12-09,"['People in Gaza have been giving us their reactions to the US blocking a UN Security Council resolution calling for an immediate humanitarian ceasefire.', ""Some residents told us they were not surprised by the outcome of Friday night's vote, as they had expected the US to use its veto powers."", '“This war won’t stop until the US says so,” one woman said.', 'Another resident, Alaa al-Saqa, said he felt like people in Gaza were viewed only as “numbers and breaking news”. He described the US’s move to block the resolution as a “farce”.', 'Rafat abu Danhe said he had “a lot of hope” that the resolution would go through and was “very upset” that it didn’t. “We have only Allah standing with us,” he said. “We are telling all nations - Western and Arab - that we need a ceasefire, because we are living in a tragedy right now.”.', 'As we’ve been reporting, the UK abstained in the vote, while the 13 other countries in the 15-member Security Council voted in favour of the resolution.', 'The US has defended its position, calling the resolution ""imbalanced"" and ""divorced from reality"".', ""Meanwhile, Israel's Ambassador to the UN, Gilad Erdan, has thanked the US for blocking the resolution, which he said would “enable Hamas’ terrorists to stay in power in Gaza and does not condemn Hamas or call for the release of the hostages”.""]","['""We have only Allah standing with us,"" says Rafat abu Danhe.']",[],"['People in Gaza have been giving us their reactions to the US blocking a UN Security Council resolution calling for an immediate humanitarian ceasefire.', ""Some residents told us they were not surprised by the outcome of Friday night's vote, as they had expected the US to use its veto powers."", '“This war won’t stop until the US says so,” one woman said.', 'Another resident, Alaa al-Saqa, said he felt like people in Gaza were viewed only as “numbers and breaking news”. He described the US’s move to block the resolution as a “farce”.', 'Rafat abu Danhe said he had “a lot of hope” that the resolution would go through and was “very upset” that it didn’t. “We have only Allah standing with us,” he said. “We are telling all nations - Western and Arab - that we need a ceasefire, because we are living in a tragedy right now.”.', 'As we’ve been reporting, the UK abstained in the vote, while the 13 other countries in the 15-member Security Council voted in favour of the resolution.', 'The US has defended its position, calling the resolution ""imbalanced"" and ""divorced from reality"".', ""Meanwhile, Israel's Ambassador to the UN, Gilad Erdan, has thanked the US for blocking the resolution, which he said would “enable Hamas’ terrorists to stay in power in Gaza and does not condemn Hamas or call for the release of the hostages”."", '""We have only Allah standing with us,"" says Rafat abu Danhe.']"
