article_id,article_title,article_date,sentence,category,voice
1721,"Hamas raped and mutilated women on 7 October, BBC hears",2023-12-05," WARNING:  CONTAINS  EXTREMELY  GRAPHIC  DESCRIPTIONS  OF  SEXUAL  VIOLENCE  AND  RAPE  Several  people  involved  in  collecting  and  identifying  the  bodies  of  those  killed  in  the  attack  told  us  they  had  seen  multiple  signs  of  sexual  assault,  including  broken  pelvises,  bruises,  cuts  and  tears,  and  that  the  victims  ranged  from  children  and  teenagers  to  pensioners. ",israel,
1721,"Hamas raped and mutilated women on 7 October, BBC hears",2023-12-05," She  describes  seeing  Hamas  fighters  gang  rape  a  woman  and  mutilate  her,  before  the  last  of  her  attackers  shot  her  in  the  head  as  he  continued  to  rape  her. ",israel,ACTIVE
1721,"Hamas raped and mutilated women on 7 October, BBC hears",2023-12-05," ""He  penetrated  her,  and  shot  her  in  the  head  before  he  finished. ",israel,ACTIVE
1721,"Hamas raped and mutilated women on 7 October, BBC hears",2023-12-05, He  didn't  even  pick  up  his  pants;  he  shoots  and  ejaculates. ,israel,ACTIVE
1721,"Hamas raped and mutilated women on 7 October, BBC hears",2023-12-05," ""  One  man  we  spoke  to  from  the  festival  site  said  he  heard  the  ""noises  and  screams  of  people  being  murdered,  raped,  decapitated"". ",israel,PASSIVE
1721,"Hamas raped and mutilated women on 7 October, BBC hears",2023-12-05,"  ""Some  women  were  raped  before  they  were  dead,  some  raped  while  injured,  and  some  were  already  dead  when  the  terrorists  raped  their  lifeless  bodies,""  his  statement  says. ",israel,ACTIVE
1721,"Hamas raped and mutilated women on 7 October, BBC hears",2023-12-05,"  ""Some  women  were  raped  before  they  were  dead,  some  raped  while  injured,  and  some  were  already  dead  when  the  terrorists  raped  their  lifeless  bodies,""  his  statement  says. ",israel,ACTIVE
1721,"Hamas raped and mutilated women on 7 October, BBC hears",2023-12-05," The  majority  were  brutally  murdered,""  she  said.  """,israel,PASSIVE
1721,"Hamas raped and mutilated women on 7 October, BBC hears",2023-12-05, One  of  those  working  with  the  teams  around  survivors  told  the  BBC  that  some  had  already  killed  themselves. ,israel,ACTIVE
1721,"Hamas raped and mutilated women on 7 October, BBC hears",2023-12-05," One  of  the  body-collectors  volunteering  with  the  religious  organisation  Zaka  described  to  me  signs  of  torture  and  mutilation  which  included,  he  said,  a  pregnant  woman  whose  womb  had  been  ripped  open  before  she  was  killed,  and  her  foetus  stabbed  while  it  was  inside  her. ",israel,PASSIVE
1721,"Hamas raped and mutilated women on 7 October, BBC hears",2023-12-05," One  of  the  body-collectors  volunteering  with  the  religious  organisation  Zaka  described  to  me  signs  of  torture  and  mutilation  which  included,  he  said,  a  pregnant  woman  whose  womb  had  been  ripped  open  before  she  was  killed,  and  her  foetus  stabbed  while  it  was  inside  her. ",israel,ACTIVE
1721,"Hamas raped and mutilated women on 7 October, BBC hears",2023-12-05," When  we  visited,  hospital  trolleys,  their  iron  skeletons  topped  with  khaki  stretchers,  stood  neatly  lined  up  in  front  of  the  containers  that  housed  the  dead;  the  white  plastic  overalls  of  those  on  shift  translucent  under  the  floodlights. ",israel,
1721,"Hamas raped and mutilated women on 7 October, BBC hears",2023-12-05,"There  might  be  a  set  of  women  who  were  raped  in  one  way,  and  we're  seeing  similarities  in  the  bodies;  and  then  a  different  set  that  were  not  raped  but  shot  multiple  times  in  the  exact  same  pattern. ",israel,
