article_id,article_title,article_date,sentence,category,voice
8456,Growing pressure on Israeli PM to reach new deal with Hamas.,2023-12-16," Relatives  are  extremely  angry,  reacting  to  the  deaths  of  three  Israeli  hostages  who  were  shot  dead  by  mistake  by  Israeli  soldiers. ",israel,PASSIVE
8456,Growing pressure on Israeli PM to reach new deal with Hamas.,2023-12-16," But  details  of  how  the  captives  were  killed  -  as  they  left  a  building  carrying  a  makeshift  white  flag  -  have  shocked  people  here,  and  across  the  country. ",israel,PASSIVE
8456,Growing pressure on Israeli PM to reach new deal with Hamas.,2023-12-16, “We  don’t  need  dead  bodies. ,israel,
8330,Day 76: Where things stand.,2023-12-21," Here  are  the  key  developments  from  the  past  24  hours:  Hamas  says  border  crossing  chief  killed  :  An  Israeli  strike  killed  the  head  of  the  Palestinian  side  of  the  newly-reopened  Kerem  Shalom  border  crossing  on  Thursday,  Hamas  authorities  in  Gaza  say. ",palestine,ACTIVE
8330,Day 76: Where things stand.,2023-12-21," Crossing  director  Bassem  Ghaben  and  three  others  were  killed  in  an  Israeli  air  strike,  according  to  the  Hamas-controlled  crossing  authority  and  the  health  ministry. ",palestine,PASSIVE
8330,Day 76: Where things stand.,2023-12-21," Gaza  death  toll  rises:  The  Hamas  media  office  said  on  Wednesday  that  at  least  20,000  people,  including  8,000  children  and  6,200  women,  have  been  reported  killed  since  Israel  began  bombing  the  territory. ",palestine,
2162,Hamas faces growing public dissent as Gaza war erodes support,2024-07-03," But  some  aid  agencies  -  in  both  northern  and  south  areas  of  Gaza  -  have  also  reported  regular  checks  on  their  activities  by  local  Hamas  officials,  and  videos  are  frequently  circulated  of  unofficial  Hamas  security  forces  shooting  and  beating  those  caught  looting. ",palestine,
2162,Hamas faces growing public dissent as Gaza war erodes support,2024-07-03," One  well-placed  source  told  the  BBC  that  dozens  of  people  had  been  killed  by  Hamas  in  bloody  score-settling  with  other  local  groups,  after  Israeli  troops  withdrew  from  one  area. ",palestine,PASSIVE
2162,Hamas faces growing public dissent as Gaza war erodes support,2024-07-03," In  response,  several  pro-Hamas  social  media  accounts  put  out  similar  messages  insisting  that  soldiers  -  male  or  female  -  were  justified  military  targets,  and  saying  the  unit  had  been  involved  in  shooting  Gazan  protestors  during  demonstrations  six  years  ago. ",palestine,
8481,IDF soldier thought hostages were 'terrorists',2023-12-16, The  IDF  has  given  more  details  on  how  it  mistakenly  killed  three  hostages  in  Gaza  on  Friday. ,israel,ACTIVE
8481,IDF soldier thought hostages were 'terrorists',2023-12-16," Two  hostages  were  killed  immediately  and  one  was  injured,  and  ran  back  into  the  building. ",israel,PASSIVE
8481,IDF soldier thought hostages were 'terrorists',2023-12-16," Alon  Shamriz,  Yotam  Haim  and  Samer  Talalka  were  mistakenly  killed  by  the  IDF. ",israel,PASSIVE
8495,We're about to close today's live page.,2024-05-11," At  least  34,971  people  have  been  killed  in  Gaza  since  the  7  October  attacks,  the  Hamas-run  Gaza  health  ministry  has  said  today. ",palestine,PASSIVE
2176,Hamas seeks 'complete halt' to war in Gaza proposal response,2024-06-11," The  war  began  after  Hamas  attacked  Israel  on  7  October,  killing  about  1,200  people  and  taking  251  others  back  to  Gaza  as  hostages. ",israel,ACTIVE
2176,Hamas seeks 'complete halt' to war in Gaza proposal response,2024-06-11," The  Hamas-run  health  ministry  in  Gaza  says  more  than  37,000  people  have  been  killed  in  the  Israeli  offensive  since  then.  ",palestine,PASSIVE
2610,The derelict hotel home for Lebanon's displaced,2024-03-02," Five  days  before  that,  an  Israeli  air  strike  had  killed  seven  people  from  the  same  family  in  Nabatiyeh,  to  the  south-east.  ",palestine,ACTIVE
1872,'My children cling to me as dogs raid graves near our shelter',2024-05-05," Domestic  pets  whose  owners  are  dead  or  displaced,  mixed  with  Rafah's  existing  population  of  strays,  all  of  them  now  feral  and  scavenging  for  whatever  they  can  eat. ",palestine,ACTIVE
1872,'My children cling to me as dogs raid graves near our shelter',2024-05-05, The  cemetery  has  numerous  shallow  graves  where  people  place  their  dead  until  a  time  comes  when  they  can  be  taken  to  their  home  area. ,palestine,
1872,'My children cling to me as dogs raid graves near our shelter',2024-05-05, On  some  graves  relatives  have  placed  bricks  to  try  to  keep  the  dogs  away  from  the  dead. ,palestine,
1872,'My children cling to me as dogs raid graves near our shelter',2024-05-05, My  child  is  in  the  3rd  grade  and  today  instead  of  playing  a  game  he  was  drawing  a  grave  and  in  the  middle  he  drew  a  dead  body. ,palestine,
1866,'I go to sleep a dead man' - father's pain at daughter's captivity in Gaza,2024-01-23," ""She  see  the  dead,  she  see  people  with  guns  on  her  head  and  she  see  murdered  girls  in  front  of  her  for  two  hours.  """,israel,
8654,Lebanon FM says government asking Hezbollah not to respond.,2024-01-03," Saleh  al-Arouri  died  in  what  Israel  has  called  a  ""surgical  strike  against  the  Hamas  leadership""  in  southern  Beirut,  along  with  six  others. ",palestine,ACTIVE
9562,Absence of government in Gaza fuels chaotic environment.,2024-04-02," But,  my  understanding  from  talking  to  aid  organisations  who  have  been  operating  there  for  months  -  during  which  many,  many  Palestinian  aid  workers  have  been  killed  -  is  even  though  they  co-ordinate  with  Israel  they  still  get  attacked. ",palestine,PASSIVE
10467,Israel says it appears 'tragedy' caused by 'delivery trucks hitting surging crowd',2024-02-29," ""At  some  point  the  trucks  were  overwhelmed  and  the  people  driving  the  trucks,  which  were  Gazan  civilian  drivers,  ploughed  into  the  crowds  of  people,  ultimately  killing,  my  understanding  is,  tens  of  people,""  spokesperson  Avi  Hyman  told  reporters. ",palestine,
10315,Where are civilians in Rafah being ordered to move to?,2024-05-07," The  Israeli  military  says  it  has  ""operational  control""  of  the  Gaza  side  of  the  Rafah  crossing,  and  that  it  has  killed  20  Hamas  fighters  in  Rafah  overnight. ",palestine,ACTIVE
2360,Israeli hostages status hangs over Gaza truce talks,2024-03-03, Pressure  for  a  deal  intensified  after  Thursday's  incident  outside  Gaza  City  in  the  north  of  the  territory  where  at  least  112  people  were  killed  as  crowds  rushed  an  aid  convoy. ,palestine,PASSIVE
2360,Israeli hostages status hangs over Gaza truce talks,2024-03-03," Dr  Mohamed  Salha,  interim  hospital  manager  at  al-Awda  hospital,  where  many  of  the  dead  and  injured  were  taken,  told  the  BBC:  ""Al-Awda  hospital  received  around  176  injured  people. . .  142  of  these  cases  are  bullet  injuries  and  the  rest  are  from  the  stampede  and  broken  limbs  in  the  upper  and  lower  body  parts.  "" ",palestine,
2360,Israeli hostages status hangs over Gaza truce talks,2024-03-03," What  video  and  eyewitness  accounts  tell  us  about  Gazans  killed  at  aid  drop  Hamas  is  reported  to  have  said  that  an  agreement  on  a  truce  could  be  reached  within  the  next  24  to  48  hours,  with  a  source  from  the  group  telling  Egyptian  media  a  deal  depended  on  Israel  agreeing  to  its  demands. ",palestine,
2360,Israeli hostages status hangs over Gaza truce talks,2024-03-03," The  Israel  military  launched  a  large-scale  air  and  ground  campaign  to  destroy  Hamas  after  its  gunmen  killed  about  1,200  people  in  southern  Israel  on  7  October  and  took  253  back  to  Gaza  as  hostages. ",israel,ACTIVE
2360,Israeli hostages status hangs over Gaza truce talks,2024-03-03," Gaza's  Hamas-run  health  ministry  says  at  least  30,410  people,  including  21,000  children  and  women,  have  been  killed  in  Gaza  since  then  with  some  7,000  missing  and  71,700  injured. ",palestine,PASSIVE
2360,Israeli hostages status hangs over Gaza truce talks,2024-03-03," At  least  11  people  were  killed  in  an  Israeli  air  strike  at  a  camp  for  displaced  people  in  Rafah  in  southern  Gaza  on  Saturday,  according  to  Hamas. ",palestine,PASSIVE
2412,Labour says it must rebuild trust with Muslim voters,2024-05-05," Israel  launched  a  military  campaign  in  Gaza  to  destroy  Hamas  in  response  to  the  group's  attack  on  southern  Israel  on  7  October,  during  which  about  1,200  people  were  killed  and  253  others  were  taken  hostage. ",israel,PASSIVE
2412,Labour says it must rebuild trust with Muslim voters,2024-05-05," More  than  34,500  people  have  been  killed  in  Gaza  since  then,  according  to  the  territory's  Hamas-run  health  ministry. ",palestine,PASSIVE
2374,Israeli soldier killed during West Bank raid,2024-06-27, Israeli  soldier  killed  during  West  Bank  raid  T-I-T-L-E-E-N-D.  ,israel,ACTIVE
2374,Israeli soldier killed during West Bank raid,2024-06-27, One  Israeli  soldier  has  been  killed  and  16  others  reportedly  injured  during  a  military  raid  in  Jenin  in  the  north  of  the  occupied  West  Bank. ,israel,PASSIVE
2374,Israeli soldier killed during West Bank raid,2024-06-27," As  additional  troops  arrived  to  help  them,  another  bomb  exploded,  killing  the  soldier. ",israel,ACTIVE
2374,Israeli soldier killed during West Bank raid,2024-06-27," The  UN  says,  external  536  Palestinians  -  members  of  armed  groups,  attackers  and  civilians  -  had  been  killed  as  of  Monday  in  conflict-related  incidents  across  the  West  Bank,  including  East  Jerusalem. ",palestine,PASSIVE
2374,Israeli soldier killed during West Bank raid,2024-06-27," At  least  519  have  been  killed  by  Israeli  forces  and  10  by  Israeli  settlers,  it  adds. ",palestine,PASSIVE
2374,Israeli soldier killed during West Bank raid,2024-06-27," Twelve  Israelis,  including  eight  security  forces  personnel,  had  also  been  killed  in  the  West  Bank  during  the  same  period,  according  to  the  UN. ",israel,PASSIVE
2374,Israeli soldier killed during West Bank raid,2024-06-27, Another  eight  Israelis  had  been  killed  in  attacks  by  Palestinians  from  the  West  Bank. ,israel,PASSIVE
8697,IDF says it killed four Palestinian militants in West Bank gunfight.,2024-01-02, IDF  says  it  killed  four  Palestinian  militants  in  West  Bank  gunfight. ,palestine,ACTIVE
8697,IDF says it killed four Palestinian militants in West Bank gunfight.,2024-01-02," The  Israeli  military  says  that  it  killed  four  Palestinian  militants,  describing  them  as  ""terrorists"",  during  a  raid  in  the  occupied  West  Bank  town  of  Azzun. ",palestine,ACTIVE
8697,IDF says it killed four Palestinian militants in West Bank gunfight.,2024-01-02," The  IDF  says  that  they  were  killed  during  an  exchange  of  fire  after  they  allegedly  threw  explosives  on  Israeli  forces  in  the  town,  in  a  post  on  X. ",palestine,PASSIVE
8873,Funerals to be held for Palestinians killed in West Bank raid.,2023-12-08, Funerals  to  be  held  for  Palestinians  killed  in  West  Bank  raid. ,palestine,
8873,Funerals to be held for Palestinians killed in West Bank raid.,2023-12-08, Funerals  are  expected  to  take  place  shortly  for  six  Palestinians  killed  in  an  Israeli  raid  of  al-Fara  refugee  camp  near  Tubas  in  the  north  of  the  occupied  West  Bank. ,palestine,
8873,Funerals to be held for Palestinians killed in West Bank raid.,2023-12-08, One  man  said  that  his  relative  had  been  shot  dead  after  opening  a  door  to  see  what  was  happening. ,palestine,PASSIVE
8873,Funerals to be held for Palestinians killed in West Bank raid.,2023-12-08," According  to  the  Palestinian  Authority,  263  Palestinians  have  been  killed  by  Israeli  forces  and  settlers  in  the  West  Bank  since  the  war  in  Gaza  began. ",palestine,PASSIVE
2348,Israeli air strike on Gaza school kills at least 16,2024-07-06, Israeli  air  strike  on  Gaza  school  kills  at  least  16  T-I-T-L-E-E-N-D.  ,palestine,ACTIVE
2348,Israeli air strike on Gaza school kills at least 16,2024-07-06," At  least  16  people  have  been  killed  in  an  Israeli  air  strike  on  a  UN-run  school  in  the  Gaza  Strip,  Palestinian  officials  have  said. ",palestine,PASSIVE
2348,Israeli air strike on Gaza school kills at least 16,2024-07-06, One  woman  told  the  AFP  news  agency  how  some  children  were  killed  as  they  were  reading  the  Koran  when  the  building  was  hit. ,palestine,PASSIVE
2348,Israeli air strike on Gaza school kills at least 16,2024-07-06, Hamas  said  five  local  journalists  were  among  those  killed  in  Israeli  attacks  on  Saturday. ,palestine,
2348,Israeli air strike on Gaza school kills at least 16,2024-07-06," Many  of  the  dead  and  wounded  were  women,  children  and  the  elderly,  the  group  claimed  via  its  English  language  Telegram  channel. ",palestine,
2348,Israeli air strike on Gaza school kills at least 16,2024-07-06,"Many  of  them  were  shelters,  and  as  a  result  at  least  500  people  sheltering  in  those  facilities  have  been  killed. ",palestine,PASSIVE
2348,Israeli air strike on Gaza school kills at least 16,2024-07-06, A  previous  attack  in  June  on  another  packed  UN-run  school  in  Nuseirat  killed  at  least  35  people. ,palestine,ACTIVE
2348,Israeli air strike on Gaza school kills at least 16,2024-07-06," After  that  attack,  Israel’s  military  said  it  had  “conducted  a  precise  strike  on  a  Hamas  compound”  in  the  school  and  killed  many  of  the  20  to  30  fighters  it  believed  were  inside. ",palestine,ACTIVE
2348,Israeli air strike on Gaza school kills at least 16,2024-07-06," Israel’s  war  was  triggered  by  Hamas's  unprecedented  attack  on  Israel  on  7  October  in  which  Hamas-led  gunmen  killed  about  1,200  people  and  took  251  others  back  to  Gaza  as  hostages. ",israel,ACTIVE
2348,Israeli air strike on Gaza school kills at least 16,2024-07-06," At  least  38,098  Palestinians  have  been  killed  in  Gaza  as  a  result  of  Israel's  offensive,  according  to  the  territory's  Hamas-run  health  ministry. ",palestine,PASSIVE
1710,Gaza protesters block BAE Systems yard in Glasgow,2023-12-07,"  She  added:  ""They  are  supporting  them  to  commit  genocide  to  kill  thousands  of  innocent  children,  thousands  of  innocent  women  and  men  and  destroying  homes.  "" ",palestine,ACTIVE
1912,Archbishop highlights suffering in Israel-Gaza war,2023-12-25," ""Or  maybe  the  newborn  lies  in  a  house  that  still  bears  the  marks  of  the  horrors  of  7  October,  with  family  members  killed,  and  a  mother  who  counted  her  life  as  lost.  """,israel,ACTIVE
