article_id,article_title,article_date,sentence,category,voice,annotator
1158,Tanzanian students taken hostage by Hamas named,2023-10-30,"  Since  the  attack,  Israel  has  retaliated  with  air  strikes  that  have  killed  more  than  8,000  people,  according  to  Gaza's  health  ministry,  which  is  run  by  Hamas. ",palestine,ACTIVE,jan
241,Dozens killed as Israel strikes Gaza refuge areas,2023-10-17, Dozens  killed  as  Israel  strikes  Gaza  refuge  areas  T-I-T-L-E-E-N-D.  ,palestine,ACTIVE,jan
241,Dozens killed as Israel strikes Gaza refuge areas,2023-10-17," More  than  100  Palestinians  have  been  killed  in  air  strikes  in  southern  Gaza,  officials  say,  as  the  Israeli  military  continues  to  target  the  area  despite  ordering  civilians  to  shelter  there. ",palestine,PASSIVE,jan
241,Dozens killed as Israel strikes Gaza refuge areas,2023-10-17, Most  of  the  dead  reportedly  fled  their  homes  in  the  north  ahead  of  what  is  expected  to  be  a  major  ground  offensive  against  the  militant  group  Hamas. ,palestine,,jan
241,Dozens killed as Israel strikes Gaza refuge areas,2023-10-17," Israel  cut  electricity  and  most  water  and  stopped  deliveries  of  food  and  medicine  through  its  crossings  in  response  to  an  unprecedented  cross-border  attack  by  Hamas  militants  on  7  October  in  which  at  least  1,300  people  were  killed  and  199  others  taken  hostage. ",israel,PASSIVE,jan
241,Dozens killed as Israel strikes Gaza refuge areas,2023-10-17," Around  3,000  people  have  been  killed  in  Israel's  bombardment  of  Gaza  since  then,  according  to  health  officials. ",palestine,PASSIVE,jan
241,Dozens killed as Israel strikes Gaza refuge areas,2023-10-17," Local  officials  in  Khan  Younis  said  three  Israeli  air  strikes  left  more  than  100  people  dead,  most  of  whom  were  displaced. ",palestine,,jan
241,Dozens killed as Israel strikes Gaza refuge areas,2023-10-17, Amin  Hneideq  said  his  daughter  was  wounded  by  a  bomb  that  destroyed  a  nearby  home  and  killed  a  family  who  had  fled  southwards. ,palestine,ACTIVE,jan
241,Dozens killed as Israel strikes Gaza refuge areas,2023-10-17," Later,  it  announced  that  a  strike  had  killed  a  top  Hamas  military  commander,  Ayman  Nofal,  who  it  described  as  ""one  of  the  most  dominant  figures  in  the  terrorist  organisation"". ",palestine,ACTIVE,jan
241,Dozens killed as Israel strikes Gaza refuge areas,2023-10-17, Hamas  said  he  died  in  a  strike  in  Bureij  refugee  camp  in  central  Gaza. ,palestine,ACTIVE,jan
241,Dozens killed as Israel strikes Gaza refuge areas,2023-10-17,"  Troops  also  killed  four  militants  who  attempted  to  infiltrate  Israeli  territory  and  plant  an  explosive  device,  it  added. ",palestine,ACTIVE,jan
1452,UK doctor stuck in Gaza finally makes it to Egypt,2023-11-13," Hamas  gunmen  killed  about  1,200  people  and  took  240  others  hostage  in  its  unprecedented  cross-border  assault  it  launched  that  day. ",israel,ACTIVE,jan
1452,UK doctor stuck in Gaza finally makes it to Egypt,2023-11-13," After  a  month  of  Israeli  bombardment  and  nearly  two  weeks  after  Israel  launched  a  major  ground  offensive  into  the  territory,  Gaza's  Hamas-run  health  ministry  said  on  Friday  that  11,078  people  had  been  killed,  while  1.5  million  had  fled  their  homes. ",palestine,PASSIVE,jan
4,'A defining moment in my life' - Israel's reservists flock to fight,2023-10-10," Israel  is  still  reeling  from  Saturday's  surprise  attack  by  Hamas  militants,  who  killed  at  least  1,000  people  and  wounded  many  more. ",israel,ACTIVE,jan
4,'A defining moment in my life' - Israel's reservists flock to fight,2023-10-10, Israel  has  launched  waves  of  retaliatory  air  strikes  against  the  Gaza  Strip  which  have  killed  at  least  900  people. ,palestine,ACTIVE,jan
