article_id,article_title,article_date,sentence,category,voice,annotator
4290,"Netanyahu says world leaders should condemn Hamas, not Israel.",2023-11-10," Israel's  Prime  Minister  Benjamin  Netanyahu  has  reponded  to  an  interview  France's  President  Macron  gave  to  the  BBC  this  evening,  in  which  he  urged  Israel  to  stop  killing  women  and  babies  in  Gaza,  and  reiterated  his  call  for  a  ceasefire  in  the  war. ",palestine,ACTIVE,jan
4290,"Netanyahu says world leaders should condemn Hamas, not Israel.",2023-11-10, France's  Macron  urges  Israel  to  stop  killing  Gaza's  women  and  children. ,palestine,ACTIVE,jan
3266,"Elderly pair buried under rubble in Khan Younis, witness says.",2023-11-08," As  we've  just  reported,  the  Hamas-run  health  ministry  says  Israeli  strikes  have  killed  more  than  100  people  in  the  southern  Gaza  Strip  in  the  past  24  hours. ",palestine,ACTIVE,jan
3746,Lorries of aid for Gaza still waiting at border.,2023-10-17," At  least  49  people  were  killed  in  an  overnight  Israeli  air  strike  that  hit  homes  near  the  Rafah  area  and  in  Khan  Younis,  also  in  the  Gaza's  south. ",palestine,PASSIVE,jan
241,Watch: Gaza paramedics rush injured colleague to hospital.,2023-10-12, The  Palestinian  health  ministry  says  that  six  medical  workers  have  been  killed  and  15  injured  in  Israeli  airstrikes. ,palestine,PASSIVE,jan
701,What's the latest?,2023-10-29," Netanyahu  responded  angrily  by  pulling  out  diplomats  of  the  country  and  saying  the  Israel  Defense  Forces  were  a  ""moral  army""  Israel  has  been  bombing  Gaza  since  the  7  October  Hamas  attacks  that  killed  1,400  people  and  saw  229  people  kidnapped  as  hostages. ",israel,ACTIVE,jan
701,What's the latest?,2023-10-29," The  Hamas-run  health  ministry  in  Gaza  says  more  than  8,000  people  have  been  killed  since  Israel's  retaliatory  bombing  began. ",palestine,PASSIVE,jan
3701,Doctor speaks of total devastation at scene of the attack.,2023-10-17," He  added  that  80%  of  the  hospital  was  out  of  service,  and  that  hundreds  of  people  were  killed  or  injured  in  the  blast. ",palestine,PASSIVE,jan
3787,Fourteen UN agency workers killed - spokeswoman.,2023-10-16, Fourteen  UN  agency  workers  killed  -  spokeswoman. ,palestine,,jan
3787,Fourteen UN agency workers killed - spokeswoman.,2023-10-16," A  spokeswoman  for  the  UN  Palestinian  refugee  agency,  UNRWA,  said  14  staff  members,  mainly  teachers,  have  been  killed  and  the  number  increases  as  Israeli  airstrikes  continue  almost  uninterrupted. ",palestine,PASSIVE,jan
1452,The last few hours in Israel and Gaza.,2023-10-10," Updates  continue  to  arrive  thick  and  fast  -  so  if  you're  just  joining  us,  or  need  a  recap,  here's  what  we've  been  reporting  in  the  last  few  hours:  Whole  families  killed  in  Israeli  village:  Details  of  a  massacre  -  said  by  the  Israel  Defense  Forces  to  have  been  committed  by  Hamas  -  were  revealed  today  after  reporters  visited  the  village  of  Kfar  Aza  near  the  Gaza  border. ",israel,ACTIVE,jan
1452,The last few hours in Israel and Gaza.,2023-10-10," Soldiers  say  Hamas  stormed  in,  burnt  homes  and  killed  entire  families  -  including  babies  -  with  an  Israeli  officer  describing  how  some  had  been  beheaded. ",israel,,jan
1452,The last few hours in Israel and Gaza.,2023-10-10, He  also  said  no-one  imagined  Hamas  would  be  able  to  breach  Israel's  defences  and  kill  so  many  people. ,israel,ACTIVE,jan
1452,The last few hours in Israel and Gaza.,2023-10-10," Hamas  confirms  deaths  of  two  officials:  Zakaria  Abu  Muammar  and  Jawad  Abu  Shamal,  members  of  the  Hamas  political  bureau,  have  been  confirmed  dead  by  the  Palestinian  militant  group. ",palestine,,jan
1452,The last few hours in Israel and Gaza.,2023-10-10, They  are  reported  to  have  died  after  a  raid  in  Khan  Yunis  early  this  morning. ,palestine,,jan
538,"'Such an outpouring of fear, anger and despair' - UN human rights chief.",2023-11-16," The  UN's  high  commissioner  for  human  rights  says  that  one  in  every  57  people  living  in  the  Gaza  Strip  ""has  been  killed  or  wounded  in  the  past  five  weeks"",  based  on  Hamas-run  health  ministry  figures. ",palestine,PASSIVE,jan
3200,Turkey to set up field hospitals on the Egyptian side of Rafah crossing.,2023-11-13," It  is  the  first  such  aid  vessel  to  arrive  in  Egypt  since  war  broke  out  on  7  October  when  Hamas  launched  a  series  of  attacks  on  Israel,  killing  1,200  people  and  taking  more  than  200  hostage. ",israel,ACTIVE,jan
3502,Biden meets first responders and families affected by Hamas attacks.,2023-10-18," More  than  1,400  people  were  killed  in  the  attacks,  with  4,200  injured  and  199  people  taken  into  Gaza  as  hostages,  including  children  and  elderly  people. ",israel,PASSIVE,jan
685,Three killed overnight in West Bank - Palestinian health ministry.,2023-10-29, Three  killed  overnight  in  West  Bank  -  Palestinian  health  ministry. ,palestine,ACTIVE,jan
685,Three killed overnight in West Bank - Palestinian health ministry.,2023-10-29," Three  Palestinians  were  killed  overnight  by  Israeli  forces  in  the  West  Bank,  the  Palestinian  health  ministry  says. ",palestine,PASSIVE,jan
685,Three killed overnight in West Bank - Palestinian health ministry.,2023-10-29, More  than  100  Palestinians  have  been  killed  in  the  West  Bank  in  recent  weeks  by  Israeli  forces  or  settlers. ,palestine,PASSIVE,jan
685,Three killed overnight in West Bank - Palestinian health ministry.,2023-10-29," On  Saturday,  a  40-year-old  man  was  shot  and  killed  by  an  Israeli  settler  in  a  village  near  the  city  of  Nablus,  the  Palestinian  Health  Ministry  said  on  Facebook  . ",palestine,PASSIVE,jan
2654,What's the latest?,2023-10-22," Earlier  on,  the  UN's  relief  and  works  agency  for  Palestine  refugees  in  the  near  east  (UNWRA)  said  an  Israeli  security  forces  operation  in  the  West  Bank's  Nur  Shams  refugee  camp  killed  13  people. ",palestine,ACTIVE,jan
3384,"Aircraft strikes 'terrorist squad' in West Bank, Israeli military says.",2023-10-19," The  IDF  says  in  its  most  recent  update  that  an  aircraft  ""struck  an  armed  terrorist  squad  in  the  Nur  Shams  Camp""  on  Wednesday  night,  killing  a  ""number  of  terrorists"". ",palestine,ACTIVE,jan
3384,"Aircraft strikes 'terrorist squad' in West Bank, Israeli military says.",2023-10-19, The  Palestinian  health  ministry  says  six  Palestinians  have  been  killed  in  the  area. ,palestine,PASSIVE,jan
3516,"Palestinian death toll since 7 October climbs to 3,300 - minister.",2023-10-18," Palestinian  Health  Minister  Mai  al-Kaila  says  the  number  killed  in  Gaza  since  Israel  began  its  airstrikes  11  days  ago  has  risen  to  3,300. ",palestine,ACTIVE,jan
3516,"Palestinian death toll since 7 October climbs to 3,300 - minister.",2023-10-18," At  least  1,300  Israelis  were  killed  in  the  Hamas  attacks  that  started  the  latest  cycle  of  violence,  with  at  least  199  people  thought  to  have  been  taken  hostage. ",israel,PASSIVE,jan
2297,Four killed in West Bank clashes - Palestinian officials.,2023-10-30, Four  killed  in  West  Bank  clashes  -  Palestinian  officials. ,palestine,ACTIVE,jan
2297,Four killed in West Bank clashes - Palestinian officials.,2023-10-30, Palestinian  health  officials  said  this  morning  that  at  least  four  people  had  been  killed  in  clashes  with  Israeli  forces  in  Jenin. ,palestine,PASSIVE,jan
2348,WHO re-states confidence in Gaza ministry death tolls.,2023-11-12," The  ministry  says  more  than  11,000  people  have  been  killed  in  Gaza  since  Israel  started  bombarding  the  territory  -  in  response  to  the  7  October  Hamas  attacks  that  killed  about  1,200  people  in  Israel. ",both,PASSIVE,jan
202,America will always be there to help Israel - Blinken.,2023-10-12," ""It's  impossible  for  me  to  look  at  the  photos  of  the  families  killed. . .  and  not  think  of  my  own  children,""  he  says. ",israel,,jan
202,America will always be there to help Israel - Blinken.,2023-10-12," ""Babies  slaughtered,  bodies  desecrated,  young  people  burned  alive,  women  raped,  parents  executed  in  front  of  their  children,  children  in  front  of  their  parents.  """,israel,ACTIVE,jan
1404,"More than 2,200 killed and 8,700 wounded in Gaza - ministry.",2023-10-14," More  than  2,200  killed  and  8,700  wounded  in  Gaza  -  ministry. ",palestine,,jan
1404,"More than 2,200 killed and 8,700 wounded in Gaza - ministry.",2023-10-14," At  least  2,215  people  have  been  killed  and  8,714  have  been  wounded  in  Gaza,  the  Palestinian  Health  Ministry  has  said. ",palestine,PASSIVE,jan
1404,"More than 2,200 killed and 8,700 wounded in Gaza - ministry.",2023-10-14," In  the  West  Bank,  54  people  were  killed  and  1,100  were  injured. ",palestine,PASSIVE,jan
3370,What's been happening?,2023-10-19," Rishi  Sunak  has  now  arrived  in  Saudi  Arabia  for  talks  with  Crown  Prince  Mohammed  bin  Salman,  saying  ""we  will  work  together  to  ensure  regional  stability""  Hamas  attack  on  Israel:  British-Israeli  man,  Yonatan  Rapoport,  and  also  a  grandmother  and  her  12-year-old  granddaughter  were  confirmed  killed  by  Hamas  in  the  attacks  on  7  October. ",israel,,jan
3370,What's been happening?,2023-10-19," Violence  in  the  West            Bank:  The            Palestinian  ministry  of  health  says  six  people  have  been  killed  in  clashes            with  the  Israeli  military  in  Nur  Shams  refugee  in  the  occupied  West  Bank  -  the  military  says  it  used  an  aircraft  to  strike  a  ""terrorist  squad""  T-E-X-T-E-N-D. ",israel,PASSIVE,jan
3286,Thai victims' remains repatriated from Israel.,2023-11-08, Thailand's  foreign  ministry  says  the  remains  of  seven  nationals  killed  in  Hamas'  attack  in  Israel  will  arrive  in  Bangkok  on  Thursday. ,israel,,jan
3286,Thai victims' remains repatriated from Israel.,2023-11-08, A  total  of  34  Thais  were  killed  during  or  since  the  attack  on  7  October. ,israel,PASSIVE,jan
2927,The key headlines of the day.,2023-11-01," Israel's  military  confirmed  its  jets  carried  out  an  attack  in  Jabalia  in  Gaza,  and  says  this  killed  a  senior  Hamas  commander  and  caused  the  collapse  of  Hamas  underground  infrastructure. ",palestine,ACTIVE,jan
2927,The key headlines of the day.,2023-11-01, Several  pictures  appeared  to  show  dead  or  seriously  injured  children. ,palestine,,jan
2927,The key headlines of the day.,2023-11-01," The  number  of  people  killed  in  the  strike  is  unclear  -  Gaza's  Hamas-run  health  ministry  says  at  least  50  were  killed,  the  Palestine  Red  Crescent  Society  puts  the  death  toll  at  25. ",palestine,ACTIVE,jan
2927,The key headlines of the day.,2023-11-01, A  doctor  in  Gaza  told  the  BBC  his  hospital  had  received  120  dead. ,palestine,ACTIVE,jan
2927,The key headlines of the day.,2023-11-01," The  World  Health  Organization  said  a  ""public  health  catastrophe""  was  imminent  in  Gaza,  as  Unicef  warned  Gaza  had  only  5%  of  its  normal  daily  water  output,  with  infant  deaths  from  dehydration  ""a  growing  threat""  Gaza's  Hamas-run  health  ministry  says  more  than  8,500  people  have  been  killed  since  Israel's  retaliatory  bombing  began  following  the  7  October  Hamas  attacks,  which  killed  1,400  and  saw  at  least  239  hostages  kidnapped  from  Israel. ",both,PASSIVE,jan
2656,Palestinian officials say four more people killed in West Bank by Israeli forces.,2023-10-22, Palestinian  officials  say  four  more  people  killed  in  West  Bank  by  Israeli  forces. ,palestine,,jan
2656,Palestinian officials say four more people killed in West Bank by Israeli forces.,2023-10-22, The  Palestinian  health  ministry  says  Israeli  forces  have  killed  four  more  Palestinians  in  the  West  Bank. ,palestine,ACTIVE,jan
2656,Palestinian officials say four more people killed in West Bank by Israeli forces.,2023-10-22," The  most  recent  fatalities  bring  the  number  of  Palestinians  killed  in  the  West  Bank  since  the  7  October  -  when  Hamas  attacked  southern  Israel  -  to  89  people,  according  to  the  update  from  the  Palestinian  health  ministry. ",palestine,ACTIVE,jan
4350,14 Palestinians killed in clashes in West Bank city.,2023-11-09, 14  Palestinians  killed  in  clashes  in  West  Bank  city. ,palestine,ACTIVE,jan
4350,14 Palestinians killed in clashes in West Bank city.,2023-11-09," Fourteen  Palestinians  have  been  killed  in  an  Israeli  raid  on  the  Jenin  refugee  camp  in  the  occupied  West  Bank,  the  Palestinian  health  ministry  says. ",palestine,PASSIVE,jan
