article_id,article_link,sentence,category,voice
123,https://www.npr.org/2023/12/28/1221952425/israeli-strikes-gaza-palestinians-killed," DEIR  AL-BALAH,  Gaza  Strip  —  Israeli  forces  bombarded  cities,  towns  and  refugee  camps  across  Gaza  overnight  and  into  Thursday,  killing  dozens  of  people  in  an  air  and  ground  offensive  against  Hamas  that  has  widened  to  most  of  the  territory  and  forced  thousands  more  to  flee  from  homes  and  shelters. ",palestine,ACTIVE
123,https://www.npr.org/2023/12/28/1221952425/israeli-strikes-gaza-palestinians-killed," The  war  has  already  killed  over  20,000  Palestinians  and  driven  around  85%  of  the  population  of  2. ",palestine,ACTIVE
123,https://www.npr.org/2023/12/28/1221952425/israeli-strikes-gaza-palestinians-killed," Israel  has  vowed  to  dismantle  Hamas  —  which  is  still  putting  up  stiff  resistance,  even  in  the  north  —  and  bring  back  more  than  100  hostages  still  held  by  the  militants  after  their  Oct.  7  attack  into  southern  Israel,  in  which  some  1,200  people,  mostly  civilians,  were  killed. ",israel,PASSIVE
123,https://www.npr.org/2023/12/28/1221952425/israeli-strikes-gaza-palestinians-killed," He  said  12  members  of  his  family  —  including  three  children  aged  2,  7  and  8  —  were  buried  and  presumed  dead,  and  that  nine  neighbors  were  missing. ",palestine,
123,https://www.npr.org/2023/12/28/1221952425/israeli-strikes-gaza-palestinians-killed," A  hospital  in  the  nearby  town  of  Deir  al-Balah  received  the  bodies  of  25  people  killed  overnight,  including  five  children  and  seven  women,  hospital  records  showed  on  Thursday. ",palestine,ACTIVE
123,https://www.npr.org/2023/12/28/1221952425/israeli-strikes-gaza-palestinians-killed," ""It  was  another  night  of  killing  and  massacres,""  said  Saeed  Moustafa,  a  resident  of  the  Nuseirat  camp. ",palestine,
123,https://www.npr.org/2023/12/28/1221952425/israeli-strikes-gaza-palestinians-killed," Farther  south,  in  Khan  Younis,  the  Palestinian  Red  Crescent  said  a  strike  near  its  Al-Amal  Hospital  killed  at  least  10  people  and  wounded  another  12. ",palestine,ACTIVE
123,https://www.npr.org/2023/12/28/1221952425/israeli-strikes-gaza-palestinians-killed," More  than  21,100  Palestinians,  most  of  them  women  and  children,  have  been  killed,  according  to  the  Health  Ministry  in  Hamas-ruled  Gaza. ",palestine,PASSIVE
123,https://www.npr.org/2023/12/28/1221952425/israeli-strikes-gaza-palestinians-killed," The  military  says  it  has  killed  thousands  of  militants,  without  presenting  evidence,  and  that  167  of  its  soldiers  have  been  killed  in  the  ground  offensive. ",both,ACTIVE
123,https://www.npr.org/2023/12/28/1221952425/israeli-strikes-gaza-palestinians-killed," The  military  says  it  has  killed  thousands  of  militants,  without  presenting  evidence,  and  that  167  of  its  soldiers  have  been  killed  in  the  ground  offensive. ",both,PASSIVE
